time_stamp,red
1571324674064,23995.0
1571324674065,29772.0
1571324674073,29801.0
1571324674083,29822.0
1571324674093,29829.0
1571324674103,29844.0
1571324674114,29896.0
1571324674124,29954.0
1571324674134,30000.0
1571324674143,30015.0
1571324674153,30071.0
1571324674164,30178.0
1571324674173,30304.0
1571324674185,30411.0
1571324674194,30495.0
1571324674204,30587.0
1571324674215,30676.0
1571324674224,30725.0
1571324674235,30754.0
1571324674245,30751.0
1571324674255,30750.0
1571324674266,30714.0
1571324674274,30676.0
1571324674285,30651.0
1571324674295,30665.0
1571324674307,30704.0
1571324674315,30728.0
1571324674325,30736.0
1571324674338,30705.0
1571324674346,30678.0
1571324674356,30619.0
1571324674365,30578.0
1571324674375,30497.0
1571324674385,30410.0
1571324674396,30354.0
1571324674405,30333.0
1571324674416,30331.0
1571324674426,30373.0
1571324674436,30431.0
1571324674446,30505.0
1571324674456,30573.0
1571324674466,30617.0
1571324674476,30693.0
1571324674489,30757.0
1571324674496,30815.0
1571324674506,30884.0
1571324674516,30958.0
1571324674526,31019.0
1571324674536,31073.0
1571324674547,31117.0
1571324674556,31144.0
1571324674566,31187.0
1571324674576,31219.0
1571324674586,31244.0
1571324674596,31260.0
1571324674606,31292.0
1571324674618,31296.0
1571324674627,31310.0
1571324674636,31327.0
1571324674647,31341.0
1571324674656,31344.0
1571324674666,31340.0
1571324674676,31342.0
1571324674687,31324.0
1571324674698,31336.0
1571324674706,31325.0
1571324674716,31323.0
1571324674726,31321.0
1571324674736,31310.0
1571324674746,31310.0
1571324674759,31302.0
1571324674769,31308.0
1571324674779,31299.0
1571324674789,31288.0
1571324674799,31279.0
1571324674809,31271.0
1571324674819,31274.0
1571324674828,31266.0
1571324674839,31251.0
1571324674852,31239.0
1571324674860,31228.0
1571324674869,31215.0
1571324674878,31205.0
1571324674889,31194.0
1571324674899,31173.0
1571324674910,31151.0
1571324674920,31110.0
1571324674929,31074.0
1571324674939,31023.0
1571324674950,30996.0
1571324674960,30966.0
1571324674970,30940.0
1571324674980,30920.0
1571324674990,30917.0
1571324675000,30920.0
1571324675011,30905.0
1571324675020,30903.0
1571324675032,30898.0
1571324675039,30893.0
1571324675049,30881.0
1571324675061,30863.0
1571324675070,30867.0
1571324675080,30860.0
1571324675089,30846.0
1571324675099,30831.0
1571324675110,30840.0
1571324675120,30841.0
1571324675130,30853.0
1571324675140,30872.0
1571324675150,30866.0
1571324675160,30870.0
1571324675169,30873.0
1571324675179,30860.0
1571324675189,30861.0
1571324675199,30855.0
1571324675211,30855.0
1571324675220,30852.0
1571324675230,30844.0
1571324675240,30852.0
1571324675250,30852.0
1571324675260,30845.0
1571324675270,30848.0
1571324675280,30845.0
1571324675291,30852.0
1571324675301,30862.0
1571324675311,30860.0
1571324675321,30853.0
1571324675331,30852.0
1571324675341,30855.0
1571324675351,30844.0
1571324675360,30844.0
1571324675370,30837.0
1571324675380,30834.0
1571324675392,30831.0
1571324675401,30841.0
1571324675410,30841.0
1571324675420,30847.0
1571324675430,30850.0
1571324675441,30847.0
1571324675450,30836.0
1571324675460,30840.0
1571324675471,30824.0
1571324675481,30825.0
1571324675491,30825.0
1571324675501,30822.0
1571324675511,30811.0
1571324675521,30805.0
1571324675531,30799.0
1571324675541,30800.0
1571324675551,30807.0
1571324675561,30793.0
1571324675574,30767.0
1571324675581,30743.0
1571324675591,30701.0
1571324675600,30669.0
1571324675610,30645.0
1571324675620,30616.0
1571324675630,30603.0
1571324675640,30595.0
1571324675650,30596.0
1571324675661,30585.0
1571324675671,30602.0
1571324675681,30602.0
1571324675691,30605.0
1571324675701,30610.0
1571324675712,30615.0
1571324675721,30608.0
1571324675732,30611.0
1571324675742,30612.0
1571324675751,30611.0
1571324675762,30607.0
1571324675772,30610.0
1571324675782,30611.0
1571324675792,30617.0
1571324675802,30624.0
1571324675812,30624.0
1571324675822,30634.0
1571324675832,30644.0
1571324675842,30640.0
1571324675852,30632.0
1571324675862,30640.0
1571324675872,30632.0
1571324675882,30633.0
1571324675892,30629.0
1571324675902,30633.0
1571324675913,30636.0
1571324675923,30624.0
1571324675932,30624.0
1571324675942,30613.0
1571324675953,30625.0
1571324675962,30627.0
1571324675972,30637.0
1571324675982,30640.0
1571324675993,30639.0
1571324676003,30641.0
1571324676013,30644.0
1571324676023,30650.0
1571324676033,30648.0
1571324676043,30642.0
1571324676053,30648.0
1571324676064,30654.0
1571324676073,30656.0
1571324676084,30656.0
1571324676093,30662.0
1571324676104,30661.0
1571324676113,30654.0
1571324676123,30657.0
1571324676133,30656.0
1571324676143,30648.0
1571324676153,30656.0
1571324676163,30655.0
1571324676173,30655.0
1571324676184,30663.0
1571324676194,30655.0
1571324676204,30669.0
1571324676214,30657.0
1571324676224,30667.0
1571324676234,30663.0
1571324676245,30663.0
1571324676255,30643.0
1571324676265,30630.0
1571324676274,30595.0
1571324676284,30558.0
1571324676294,30523.0
