time_stamp,value,flag,mrr_30s,mhr_30s,sdrr_30s,sdhr_30s,cvrr_30s,rmsd_30s,prr20_30s,prr50_30s,reaction_time
1569293591902,1,11,570.9666841947115,113.51876190270241,157.93238641827693,32.2202642244462,27.660525699677898,205.0747636947922,88.23529411764706,78.43137254901961,669
1569293592745,1,11,570.3972933900122,113.46962890151994,155.64149531903203,32.09950849629274,27.28650663715743,200.5311148693152,88.0,76.0,843
1569293593375,1,11,563.9673450397995,114.9052570073575,156.2967201565426,32.45219353160473,27.713789021864848,199.09106792466756,88.46153846153847,76.92307692307692,630
1569293594189,1,11,557.889643742488,116.03654124603455,155.4934740518423,32.23441651332685,27.871726208923018,196.23093129350642,90.19607843137256,78.43137254901961,814
1569293594850,1,11,558.6842801076061,115.63350236899494,153.54962404847512,31.7231245877885,27.484149727445438,196.4803871160263,92.3076923076923,80.76923076923077,661
1569293595547,1,11,566.5435603215144,113.9922534462346,153.8396475494301,31.506473231034754,27.154072223877343,201.85596417492008,92.15686274509804,80.3921568627451,697
1569293596247,1,11,572.6974675105168,112.48396867325738,151.80249951688265,30.804973326521477,26.506577753304803,197.21270567197658,92.15686274509804,78.43137254901961,700
1569293596894,1,11,571.3512995793269,112.68488563111454,151.23196441190194,30.68631186274156,26.469173085499346,193.31139030808995,92.15686274509804,78.43137254901961,647
1569293597568,1,11,569.4168916590073,113.03458119810678,151.32102312999677,30.562860812915332,26.574733792866592,188.51163291721306,92.0,78.0,674
1569293598239,1,11,564.3188141467524,113.4897586268926,141.99077780494332,29.96214246080887,25.16144672929836,188.18778048967613,92.0,78.0,671
1569293598978,1,11,566.158949631911,113.05549949637178,141.2166311499059,29.831755627263462,24.942930115600593,186.4178353068069,92.15686274509804,76.47058823529412,739
1569293599571,1,11,561.7031710642689,114.04663339130057,141.74502023268892,30.09118938671205,25.234862029374362,187.0537161854614,92.3076923076923,76.92307692307692,593
1569293600246,1,11,563.5899819428066,113.75959808657034,142.6559693025624,30.266285350166466,25.3120129656668,191.4988546666717,92.3076923076923,76.92307692307692,675
1569293600920,1,11,564.5333873820755,113.62747093547901,143.26765300923086,30.363827641692623,25.378065533663023,187.8027166289627,90.38461538461539,75.0,674
1569293601789,1,11,563.4013026975235,113.73813454982032,142.93675203569805,29.91806200463666,25.370326861391252,188.29360322720473,90.38461538461539,73.07692307692308,869
1569293602510,1,11,554.4494357638889,116.12918923268552,146.69656621020746,31.329950988536954,26.45806032936029,185.49946099281365,88.67924528301887,71.69811320754717,721
1569293603104,1,11,550.9308901186342,116.58792198640505,143.42661240062537,30.92377348235268,26.033503470778474,181.0311837475393,88.67924528301887,71.69811320754717,594
1569293603902,1,11,557.7408746683373,115.46836716986361,147.3971988821331,31.327186960921544,26.427541099580232,180.87556753522452,88.46153846153847,71.15384615384616,798
1569293604571,1,11,557.552204635908,115.54475044064733,147.62226186012876,31.427333009004535,26.47685017343423,190.45157055761297,90.38461538461539,73.07692307692308,669
1569293605219,1,11,558.1182377653302,115.5614377838765,148.27416796697412,31.820396471138633,26.56680214584179,191.73471425146136,90.38461538461539,71.15384615384616,648
1569293605897,1,11,558.4955962558962,115.4495745617267,147.99296901549434,31.75622167133832,26.498502406755897,192.45053237117352,92.3076923076923,73.07692307692308,678
1569293606662,1,11,554.9106629569576,116.14240623183602,146.73003876589294,31.826185025060166,26.442101145436858,190.2394148736048,92.3076923076923,75.0,765
1569293607345,1,11,550.759682709316,116.83422409342838,145.07223080303203,31.49607355141032,26.340386807071226,190.44149107457537,92.3076923076923,75.0,683
1569293608169,1,11,547.4123354311342,117.6736052781332,145.78721460829956,31.80144346708611,26.632066026330886,192.7377496539294,92.45283018867924,77.35849056603773,824
