time_stamp,value,flag
1569164460277,0,11
1569164462512,1,11
1569164465071,1,11
1569164466257,1,11
1569164467772,1,11
1569164469829,1,11
1569164471103,1,11
1569164472324,1,11
1569164473528,1,11
1569164474777,1,11
1569164475827,1,11
1569164476820,1,11
1569164477997,1,11
1569164479055,1,11
1569164480043,1,11
1569164481268,1,11
1569164483952,1,11
1569164484968,1,11
1569164486479,1,11
1569164487638,1,11
1569164488562,1,11
1569164489500,1,11
1569164490297,1,11
1569164491321,1,11
1569164492332,1,11
1569164493208,1,11
1569164495491,1,11
1569164496408,1,11
1569164497392,1,11
1569164498286,1,11
1569164499247,1,11
1569164500615,1,11
1569164501510,1,11
1569164502417,1,11
1569164503200,1,11
1569164504060,1,11
1569164504900,1,11
1569164505883,1,11
1569164506654,1,11
1569164507514,1,11
1569164508390,1,11
1569164509293,1,11
1569164510061,1,11
1569164511284,1,11
1569164512163,1,11
1569164513069,1,11
1569164513930,1,11
1569164515233,1,11
1569164516087,1,11
1569164517588,1,11
1569164518521,1,11
1569164519364,1,11
1569164520132,1,11
1569164520944,1,11
1569164522025,-1,11
1569164523714,1,11
1569164527788,1,11
1569164528584,1,11
1569164530603,1,11
1569164532025,1,11
1569164538541,0,12
1569164539570,0,12
1569164541834,1,12
1569164550428,1,12
1569164553243,-1,12
1569164558261,1,12
1569164561433,1,12
1569164564410,1,12
1569164567011,1,12
1569164572104,1,12
1569164573380,1,12
1569164578224,1,12
1569164582535,1,12
1569164585646,1,12
1569164588351,1,12
1569164591910,1,12
1569164593977,1,12
1569164600530,1,12
1569164603445,1,12
1569164605377,1,12
1569164609925,1,12
1569164612337,1,12
1569164614009,1,12
1569164617110,1,12
1569164619773,1,12
1569164623102,1,12
1569164628084,1,12
1569164630544,1,12
1569164631886,1,12
1569164637701,1,12
1569164639133,-1,12
1569164643636,1,12
1569164646840,1,12
1569164650169,1,12
1569164652605,1,12
1569164655845,1,12
1569164656978,1,12
1569164660486,1,12
1569164664120,1,12
1569164667804,1,12
1569164670528,1,12
1569164674211,1,12
1569164679799,1,12
1569164682561,1,12
1569164687425,1,12
1569164689730,1,12
1569164690937,1,12
1569164692814,1,12
1569164696040,1,12
1569164700768,1,12
1569164703390,1,12
1569164705366,1,12
1569164708381,1,12
1569164709882,1,12
1569164712031,1,12
1569164713079,1,12
1569164715554,1,12
1569164721224,1,12
1569164722626,1,12
1569164724277,1,12
1569164731016,0,13
1569164731643,0,13
1569164732300,0,13
1569164736937,1,13
1569164740174,-1,13
1569164743625,1,13
1569164749466,-1,13
1569164757500,1,13
1569164764776,1,13
1569164766814,1,13
1569164773294,1,13
1569164776885,1,13
1569164781825,1,13
1569164784587,1,13
1569164789340,1,13
1569164794250,1,13
1569164800094,1,13
1569164804918,1,13
1569164807303,1,13
1569164810555,1,13
1569164819315,1,13
1569164822445,1,13
1569164825119,1,13
1569164829769,1,13
1569164832406,-1,13
1569164834593,1,13
1569164839059,1,13
1569164842659,1,13
1569164846237,1,13
1569164852761,1,13
1569164854549,1,13
1569164857379,1,13
1569164860346,1,13
1569164861635,1,13
1569164870716,1,13
1569164875593,1,13
1569164879619,1,13
1569164883965,1,13
1569164887684,1,13
1569164890775,1,13
1569164895491,-1,13
1569164899745,1,13
1569164906743,1,13
1569164912241,1,13
1569164915482,1,13
1569164918485,1,13
1569164921915,1,13
1569164927238,1,13
1569164929571,1,13
1569164931346,1,13
1569164933010,1,13
1569164934263,1,13
1569164935401,1,13
1569164938327,1,13
1569164939401,1,13
1569164940665,-1,13
1569164942694,1,13
1569164943552,1,13
1569164944446,1,13
1569164946315,1,13
1569165008502,0,21
1569165009319,1,21
1569165010039,1,21
1569165011052,1,21
1569165012087,1,21
1569165013101,1,21
1569165013907,1,21
1569165014691,1,21
1569165015519,1,21
1569165016293,1,21
1569165017110,1,21
1569165017927,1,21
1569165018734,1,21
1569165019443,1,21
1569165020227,1,21
1569165020935,1,21
1569165021654,1,21
1569165022297,1,21
1569165022983,1,21
1569165023713,1,21
1569165024378,1,21
1569165024911,1,21
1569165025555,1,21
1569165026243,1,21
1569165026906,1,21
1569165027570,1,21
1569165028660,1,21
1569165029282,1,21
1569165030087,1,21
1569165030883,1,21
1569165031472,1,21
1569165032005,1,21
1569165032616,1,21
1569165033423,1,21
1569165034151,1,21
1569165034816,1,21
1569165035939,1,21
1569165036527,1,21
1569165037127,1,21
1569165037911,1,21
1569165038500,1,21
1569165039262,1,21
1569165040025,1,21
1569165040897,1,21
1569165041954,1,21
1569165042498,1,21
1569165043261,1,21
1569165044362,1,21
1569165045146,1,21
1569165045788,1,21
1569165046497,1,21
1569165047152,1,21
1569165047717,1,21
1569165048295,1,21
1569165048992,1,21
1569165049690,1,21
