time_stamp,value,flag
1569966620733,0,11
1569966627357,1,11
1569966632957,1,11
1569966634629,1,11
1569966638348,1,11
1569966640632,1,11
1569966642784,1,11
1569966644049,1,11
1569966646409,1,11
1569966648203,1,11
1569966650095,1,11
1569966656061,1,11
1569966657474,1,11
1569966658737,1,11
1569966659933,1,11
1569966660873,1,11
1569966662613,1,11
1569966663865,1,11
1569966665618,1,11
1569966666770,1,11
1569966667781,1,11
1569966669068,1,11
1569966672929,1,11
1569966674145,1,11
1569966675306,1,11
1569966676611,1,11
1569966677708,1,11
1569966679223,1,11
1569966680677,1,11
1569966681690,1,11
1569966682812,1,11
1569966684076,1,11
1569966685025,1,11
1569966685857,1,11
1569966686691,1,11
1569966687687,1,11
1569966688496,1,11
1569966689400,1,11
1569966690461,1,11
1569966691699,1,11
1569966692456,1,11
1569966693272,1,11
1569966694028,1,11
1569966695029,1,11
1569966696050,1,11
1569966697250,1,11
1569966698514,1,11
1569966701854,1,11
1569966703028,1,11
1569966704401,1,11
1569966705298,1,11
1569966706355,1,11
1569966707248,1,11
1569966708230,1,11
1569966709383,1,11
1569966710455,1,11
1569966711327,1,11
1569966713254,1,11
1569966714099,1,11
1569966714993,1,11
1569966727404,0,12
1569966730847,0,12
1569966734526,1,12
1569966736874,1,12
1569966738594,1,12
1569966741240,1,12
1569966742591,-1,12
1569966743691,1,12
1569966745559,1,12
1569966750161,1,12
1569966752684,1,12
1569966753809,1,12
1569966755991,1,12
1569966759094,1,12
1569966760044,1,12
1569966762179,1,12
1569966763944,1,12
1569966768270,1,12
1569966770610,1,12
1569966772338,1,12
1569966773970,1,12
1569966777274,1,12
1569966780302,-1,12
1569966782220,1,12
1569966783684,1,12
1569966785257,1,12
1569966787289,1,12
1569966788929,1,12
1569966790320,1,12
1569966792929,1,12
1569966797571,1,12
1569966799062,1,12
1569966800507,1,12
1569966801793,1,12
1569966803322,1,12
1569966805050,1,12
1569966806575,1,12
1569966807915,1,12
1569966809425,-1,12
1569966811090,-1,12
1569966812542,1,12
1569966813525,1,12
1569966815001,1,12
1569966816581,1,12
1569966818172,1,12
1569966819485,1,12
1569966820736,1,12
1569966822200,1,12
1569966823459,1,12
1569966825574,-1,12
1569966826833,1,12
1569966828261,1,12
1569966830806,1,12
1569966832802,1,12
1569966834194,1,12
1569966835212,1,12
1569966836169,1,12
1569966837555,1,12
1569966840571,1,12
1569966841769,1,12
1569966853978,0,13
1569966855416,0,13
1569966856701,0,13
1569966858820,1,13
1569966861444,-1,13
1569966862626,1,13
1569966864558,-1,13
1569966866601,1,13
