time_stamp,value,flag
1572545901935,0,11
1572545903015,1,11
1572545907711,1,11
1572545908912,1,11
1572545910146,-1,11
1572545911609,1,11
1572545913345,-1,11
1572545914481,1,11
1572545915967,1,11
1572545917878,1,11
1572545919690,1,11
1572545920804,1,11
1572545922114,1,11
1572545923163,1,11
1572545924528,1,11
1572545926800,1,11
1572545928919,1,11
1572545932675,-1,11
1572545937908,1,11
1572545939326,1,11
1572545940277,1,11
1572545942385,1,11
1572545943619,1,11
1572545945509,1,11
1572545946721,-1,11
1572545948196,1,11
1572545953003,1,11
1572545954062,1,11
1572545955176,-1,11
1572545957252,1,11
1572545959841,1,11
1572545960780,1,11
1572545961676,1,11
1572545962517,1,11
1572545964090,1,11
1572545966996,1,11
1572545968034,1,11
1572545968842,1,11
1572545970098,1,11
1572545972042,-1,11
1572545973572,1,11
1572545978205,1,11
1572545979067,1,11
1572545980312,1,11
1572545982858,1,11
1572545984180,1,11
1572545985152,1,11
1572545987053,1,11
1572545988025,1,11
1572545993476,1,11
1572545994667,1,11
1572545995585,1,11
1572545996415,1,11
1572545998217,1,11
1572545999628,1,11
1572546000326,1,11
1572546001343,1,11
1572546002959,1,11
1572546003757,1,11
1572546004556,1,11
1572546016743,0,12
1572546018394,0,12
1572546019628,1,12
1572546020917,1,12
1572546022173,-1,12
1572546027856,1,12
1572546031832,1,12
1572546033121,1,12
1572546034519,1,12
1572546036639,1,12
1572546038267,1,12
1572546039599,-1,12
1572546042265,1,12
1572546043577,1,12
1572546044429,1,12
1572546045106,1,12
1572546046232,1,12
1572546047707,1,12
1572546049335,1,12
1572546050559,1,12
1572546051991,1,12
1572546053203,1,12
1572546055672,-1,12
1572546059070,1,12
1572546062009,-1,12
1572546063354,1,12
1572546065889,1,12
1572546066829,1,12
1572546067834,1,12
1572546069867,1,12
1572546071134,1,12
1572546072304,1,12
1572546073802,1,12
1572546075135,1,12
1572546076052,1,12
1572546077211,1,12
1572546078162,1,12
1572546079888,1,12
1572546085627,1,12
1572546087431,-1,12
1572546089082,1,12
1572546091924,1,12
1572546093716,1,12
1572546095040,1,12
1572546096175,1,12
1572546097530,1,12
1572546098568,1,12
1572546099727,1,12
1572546100558,1,12
1572546102328,1,12
1572546104121,1,12
1572546104907,1,12
1572546106044,1,12
1572546106963,1,12
1572546107761,1,12
1572546108843,1,12
1572546110231,1,12
1572546111477,1,12
1572546112287,1,12
1572546114058,1,12
1572546125470,0,13
1572546126333,0,13
1572546127317,0,13
1572546129711,1,13
1572546131985,-1,13
1572546134084,1,13
1572546138348,-1,13
1572546141563,1,13
1572546145247,1,13
1572546147205,1,13
1572546149959,-1,13
1572546151261,1,13
1572546152704,-1,13
1572546154071,-1,13
1572546154837,1,13
1572546156028,1,13
1572546156750,1,13
1572546158041,1,13
1572546160500,1,13
1572546163769,1,13
1572546167564,1,13
1572546169008,-1,13
1572546170670,1,13
1572546171818,1,13
1572546174191,-1,13
