time_stamp,value,flag
1569166794567,0,11
1569166795437,1,11
1569166796583,1,11
1569166797427,1,11
1569166798370,1,11
1569166799654,1,11
1569166800308,1,11
1569166800952,1,11
1569166802011,1,11
1569166802764,1,11
1569166803456,1,11
1569166804262,1,11
1569166804953,1,11
1569166805674,1,11
1569166806560,1,11
1569166807240,1,11
1569166807819,1,11
1569166808801,1,11
1569166809643,1,11
1569166810371,1,11
1569166811050,1,11
1569166811788,1,11
1569166812483,1,11
1569166814160,1,11
1569166814928,1,11
1569166815707,1,11
1569166816500,1,11
1569166817077,1,11
1569166817947,1,11
1569166818612,1,11
1569166819240,1,11
1569166819934,1,11
1569166820617,1,11
1569166821255,1,11
1569166821933,1,11
1569166822600,1,11
1569166823265,1,11
1569166823920,1,11
1569166824574,1,11
1569166825230,1,11
1569166826082,1,11
1569166826671,1,11
1569166827329,1,11
1569166828019,1,11
1569166828685,1,11
1569166829409,1,11
1569166830379,1,11
1569166831029,1,11
1569166831932,1,11
1569166832803,1,11
1569166833382,1,11
1569166834009,1,11
1569166834662,1,11
1569166835544,1,11
1569166836299,1,11
1569166837066,1,11
1569166837785,1,11
1569166838726,1,11
1569166839811,1,11
1569166840428,1,11
1569166846857,0,12
1569166847474,0,12
1569166852360,1,12
1569166854566,1,12
1569166856782,1,12
1569166859905,1,12
1569166863424,-1,12
1569166866895,1,12
1569166870567,1,12
1569166874088,-1,12
1569166877810,1,12
1569166882086,1,12
1569166883440,1,12
1569166884912,1,12
1569166889099,1,12
1569166892304,1,12
1569166894330,1,12
1569166897249,1,12
1569166900931,1,12
1569166904758,1,12
1569166907617,1,12
1569166911426,1,12
1569166912770,1,12
1569166915845,1,12
1569166918628,-1,12
1569166921515,1,12
1569166925775,1,12
1569166928006,1,12
1569166930079,1,12
1569166933305,1,12
1569166939122,1,12
1569166941549,1,12
1569166947365,1,12
1569166950553,1,12
1569166952897,1,12
1569166955203,1,12
1569166956776,1,12
1569166962017,1,12
1569166965032,1,12
1569166969264,-1,12
1569166970316,1,12
1569166971928,1,12
1569166974473,1,12
1569166976626,1,12
1569166980333,1,12
1569166982539,1,12
1569166986895,-1,12
1569166990089,1,12
1569166991679,1,12
1569166996128,-1,12
1569167002695,1,12
1569167006273,1,12
1569167008062,1,12
1569167010050,1,12
1569167011957,1,12
1569167013771,1,12
1569167018796,1,12
1569167021103,1,12
1569167023093,1,12
1569167025290,1,12
1569167031943,0,13
1569167032361,0,13
1569167036575,0,13
1569167040068,1,13
1569167042448,1,13
1569167046222,1,13
1569167050442,1,13
1569167053731,1,13
1569167056744,1,13
1569167064462,1,13
1569167068745,1,13
1569167075055,-1,13
1569167084029,1,13
1569167086767,1,13
1569167088520,1,13
1569167095451,1,13
1569167101778,1,13
1569167103443,1,13
1569167106290,1,13
1569167108324,1,13
1569167116508,1,13
1569167120178,1,13
1569167124455,1,13
1569167129047,1,13
1569167133035,1,13
1569167134430,1,13
1569167138821,1,13
1569167140781,1,13
1569167144034,1,13
1569167151466,1,13
1569167153273,1,13
1569167156491,1,13
1569167159313,1,13
1569167167278,1,13
1569167168800,1,13
1569167173001,-1,13
1569167176371,1,13
1569167177840,1,13
1569167179551,1,13
1569167183437,1,13
1569167186246,1,13
1569167190260,1,13
1569167192920,1,13
1569167195062,1,13
1569167196594,1,13
1569167199727,1,13
1569167202326,1,13
1569167204391,1,13
1569167205751,1,13
1569167207034,1,13
1569167210971,1,13
1569167212438,1,13
1569167213744,1,13
1569167225331,1,13
1569167226918,1,13
1569167228205,-1,13
1569167230367,1,13
1569167231788,1,13
1569167232730,1,13
1569167233929,1,13
1569167296105,0,21
1569167297000,1,21
