time_stamp,value,flag
1572502607808,0,11
1572502608896,1,11
1572502610124,1,11
1572502612040,1,11
1572502614036,1,11
1572502614913,1,11
1572502616128,1,11
1572502616969,1,11
1572502617762,1,11
1572502619171,1,11
1572502620373,1,11
1572502621289,1,11
1572502622633,1,11
1572502623888,1,11
1572502624742,1,11
1572502626172,1,11
1572502627404,1,11
1572502628426,1,11
1572502630000,1,11
1572502631811,1,11
1572502632506,1,11
1572502633605,1,11
1572502634459,1,11
1572502635232,1,11
1572502636281,1,11
1572502637490,1,11
1572502639242,1,11
1572502640103,1,11
1572502641335,1,11
1572502642159,1,11
1572502643028,1,11
1572502644189,1,11
1572502644939,1,11
1572502645661,1,11
1572502646379,1,11
1572502647229,1,11
1572502648066,1,11
1572502648756,1,11
1572502650036,1,11
1572502650709,1,11
1572502651574,1,11
1572502653898,1,11
1572502655282,1,11
1572502656506,1,11
1572502659423,1,11
1572502660213,1,11
1572502663521,1,11
1572502664687,1,11
1572502666657,-1,11
1572502668687,1,11
1572502670736,1,11
1572502671344,1,11
1572502672345,1,11
1572502673362,1,11
1572502674105,1,11
1572502675540,1,11
1572502676312,1,11
1572502678932,1,11
1572502680588,1,11
1572502681457,1,11
1572502688130,0,12
1572502689523,0,12
1572502691883,1,12
1572502696368,1,12
1572502697357,1,12
1572502702523,1,12
1572502703861,-1,12
1572502707306,1,12
1572502710104,1,12
1572502712153,1,12
1572502714849,1,12
1572502715838,-1,12
1572502718543,1,12
1572502724414,1,12
1572502727144,1,12
1572502730187,1,12
1572502731195,1,12
1572502734273,1,12
1572502736188,1,12
1572502737938,1,12
1572502741381,1,12
1572502743427,1,12
1572502744471,1,12
1572502747818,1,12
1572502748757,-1,12
1572502750215,-1,12
1572502753762,1,12
1572502755118,1,12
1572502755794,1,12
1572502757917,1,12
1572502758516,-1,12
1572502761573,-1,12
1572502762329,1,12
1572502763229,1,12
1572502763889,1,12
1572502765078,1,12
1572502766808,1,12
1572502768530,1,12
1572502770136,1,12
1572502770684,-1,12
1572502772084,1,12
1572502773549,1,12
1572502777098,1,12
1572502780754,1,12
1572502782177,1,12
1572502784243,1,12
1572502785365,-1,12
1572502788918,1,12
1572502790312,1,12
1572502792427,1,12
1572502795396,1,12
1572502796182,1,12
1572502797395,1,12
1572502800995,1,12
1572502802622,1,12
1572502804256,1,12
1572502805266,1,12
1572502807499,1,12
1572502808219,1,12
1572502809380,1,12
1572502817504,0,13
1572502818861,0,13
1572502819971,0,13
1572502823064,1,13
1572502825261,1,13
1572502826433,1,13
1572502828650,-1,13
1572502830928,1,13
1572502832611,-1,13
1572502834925,-1,13
1572502836753,1,13
1572502838353,-1,13
1572502843053,1,13
1572502845348,1,13
1572502847742,1,13
1572502849927,1,13
1572502850896,1,13
1572502852667,1,13
1572502854578,1,13
1572502855952,1,13
1572502857520,1,13
1572502858416,1,13
1572502859321,-1,13
1572502860840,1,13
1572502861802,1,13
1572502862728,-1,13
1572502863783,1,13
1572502864757,1,13
1572502866955,-1,13
1572502868162,1,13
1572502870014,-1,13
1572502871179,1,13
1572502873061,1,13
1572502874211,1,13
1572502875690,1,13
1572502877653,1,13
1572502879378,1,13
1572502881751,-1,13
1572502883591,-1,13
1572502885014,1,13
1572502886345,-1,13
1572502887130,1,13
1572502887324,1,13
1572502891668,1,13
1572502892873,1,13
1572502894307,1,13
1572502895312,-1,13
