time_stamp,value,flag
1572416974218,0,11
1572416975998,1,11
1572416977047,1,11
1572416978320,1,11
1572416979530,1,11
1572416980300,1,11
1572416981332,1,11
1572416982119,1,11
1572416983166,1,11
1572416983844,1,11
1572416984470,1,11
1572416985312,1,11
1572416986080,1,11
1572416986967,1,11
1572416987834,1,11
1572416988619,1,11
1572416989250,1,11
1572416990496,1,11
1572416991305,1,11
1572416992028,1,11
1572416993420,1,11
1572416994183,1,11
1572416995011,1,11
1572416995636,1,11
1572416996234,1,11
1572416996803,1,11
1572416997432,1,11
1572416998104,1,11
1572416998622,1,11
1572416999296,1,11
1572416999905,1,11
1572417000426,1,11
1572417001006,1,11
1572417001601,1,11
1572417002130,1,11
1572417002967,1,11
1572417003523,1,11
1572417004064,1,11
1572417004680,1,11
1572417005234,1,11
1572417006419,1,11
1572417006836,1,11
1572417007429,1,11
1572417008667,1,11
1572417009384,1,11
1572417010118,1,11
1572417011473,1,11
1572417012191,1,11
1572417012755,-1,11
1572417014453,1,11
1572417015839,1,11
1572417016399,1,11
1572417017320,1,11
1572417018038,1,11
1572417020866,1,11
1572417022321,-1,11
1572417024291,1,11
1572417025843,1,11
1572417026345,1,11
1572417026839,1,11
1572417033553,0,12
1572417039291,0,12
1572417041439,1,12
1572417043121,1,12
1572417044741,1,12
1572417048070,1,12
1572417050499,1,12
1572417052363,1,12
1572417053604,1,12
1572417054765,1,12
1572417058783,1,12
1572417059767,1,12
1572417061318,1,12
1572417063719,1,12
1572417065804,1,12
1572417069717,1,12
1572417071052,1,12
1572417073026,1,12
1572417076352,1,12
1572417080052,1,12
1572417083291,1,12
1572417084747,1,12
1572417086430,1,12
1572417093445,1,12
1572417095902,1,12
1572417097738,1,12
1572417101068,1,12
1572417104800,1,12
1572417106801,1,12
1572417108977,1,12
1572417110992,1,12
1572417112927,1,12
1572417124037,1,12
1572417128580,1,12
1572417129783,1,12
1572417132093,1,12
1572417133344,1,12
1572417136015,1,12
1572417140038,1,12
1572417141377,1,12
1572417142582,1,12
1572417146498,1,12
1572417149497,1,12
1572417151658,1,12
1572417153302,1,12
1572417155781,1,12
1572417157130,1,12
1572417159307,1,12
1572417161236,1,12
1572417163040,1,12
1572417165211,1,12
1572417169172,1,12
1572417170761,1,12
1572417172176,1,12
1572417173314,1,12
1572417174532,1,12
1572417175688,1,12
1572417176909,1,12
1572417178051,1,12
1572417178953,1,12
1572417186682,0,13
1572417187067,0,13
1572417190024,0,13
1572417194100,1,13
1572417204153,1,13
1572417216685,1,13
1572417218385,1,13
1572417223058,1,13
1572417228351,1,13
1572417230562,1,13
1572417236953,1,13
1572417239060,1,13
1572417244041,1,13
1572417248779,1,13
1572417252372,1,13
1572417255011,1,13
1572417257517,1,13
1572417260293,1,13
1572417263967,1,13
1572417270994,1,13
1572417276626,1,13
1572417283555,1,13
1572417286246,1,13
1572417288202,1,13
1572417293066,1,13
1572417295304,1,13
1572417300809,1,13
1572417304548,1,13
1572417308495,1,13
1572417312091,1,13
1572417314715,1,13
1572417316971,1,13
1572417322335,1,13
1572417327295,1,13
1572417329683,1,13
1572417333262,1,13
1572417336909,1,13
1572417339366,1,13
1572417342275,1,13
1572417347589,-1,13
1572417358392,-1,13
1572417374782,1,13
1572417382550,1,13
1572417386091,1,13
1572417389064,1,13
1572417391350,1,13
1572417393964,1,13
1572417397407,1,13
1572417402532,1,13
1572417405692,1,13
1572417414343,1,13
1572417416273,1,13
1572417418743,1,13
1572417420739,1,13
1572417422265,1,13
1572417424680,1,13
1572417427224,1,13
1572417430352,1,13
1572417434381,1,13
1572417436947,1,13
1572417499190,0,21
1572417502504,1,21
1572417503264,1,21
1572417503791,1,21
1572417504347,1,21
1572417504839,1,21
1572417505445,1,21
1572417506005,1,21
1572417506480,1,21
1572417506921,1,21
1572417507568,1,21
1572417508021,1,21
1572417508414,1,21
1572417508808,1,21
1572417509186,1,21
1572417509693,1,21
1572417510121,1,21
1572417510509,1,21
1572417510950,1,21
1572417511358,1,21
1572417512188,1,21
1572417512699,1,21
1572417513141,1,21
1572417513708,1,21
1572417514109,1,21
1572417514565,1,21
1572417514994,-1,21
1572417515687,1,21
1572417516519,1,21
1572417517131,1,21
1572417517652,1,21
1572417518284,1,21
1572417518772,1,21
1572417519508,1,21
1572417519910,1,21
1572417520351,1,21
1572417520785,1,21
1572417521212,1,21
1572417521616,1,21
1572417522156,1,21
1572417522510,1,21
1572417522920,1,21
1572417523375,1,21
1572417524020,1,21
1572417524369,-1,21
1572417526674,1,21
1572417527229,1,21
1572417527968,1,21
1572417528526,1,21
1572417528979,1,21
1572417529444,1,21
1572417529898,1,21
1572417530416,1,21
1572417530922,1,21
1572417531451,1,21
1572417531932,1,21
1572417532578,1,21
1572417533119,1,21
1572417533526,1,21
1572417533993,1,21
1572417534422,1,21
1572417534862,1,21
1572417535301,1,21
1572417535744,1,21
1572417536166,1,21
1572417536567,1,21
1572417536999,1,21
1572417537413,1,21
1572417537826,1,21
1572417538249,1,21
1572417538638,-1,21
1572417539351,1,21
1572417539787,1,21
1572417540228,1,21
1572417540873,1,21
1572417541597,1,21
1572417542130,1,21
1572417542726,1,21
1572417543491,1,21
1572417544267,1,21
1572417544785,1,21
1572417545311,1,21
1572417545786,1,21
1572417546289,1,21
1572417546776,1,21
1572417547256,1,21
1572417547756,1,21
1572417548206,1,21
1572417548644,1,21
1572417549108,1,21
1572417549700,1,21
1572417550159,1,21
1572417550597,1,21
1572417551048,1,21
1572417551483,1,21
1572417551980,1,21
1572417552494,1,21
1572417552934,1,21
1572417553721,1,21
1572417554455,1,21
1572417557263,1,21
1572417557770,1,21
1572417558501,1,21
1572417559728,1,21
1572417566750,0,22
1572417570971,0,22
1572417579414,1,22
1572417581309,1,22
1572417582794,1,22
1572417585135,1,22
1572417586858,1,22
1572417588522,1,22
1572417589861,1,22
1572417591935,1,22
1572417594074,1,22
1572417597929,1,22
1572417599799,1,22
1572417603073,1,22
1572417605278,1,22
1572417606794,1,22
1572417608160,1,22
1572417609558,1,22
1572417610957,1,22
1572417612982,1,22
1572417615239,1,22
1572417616470,1,22
1572417620898,1,22
1572417623674,1,22
1572417626728,1,22
1572417634147,1,22
1572417635769,1,22
1572417637677,1,22
1572417640093,1,22
1572417641623,1,22
1572417643102,1,22
1572417644468,1,22
1572417646591,1,22
1572417647816,1,22
1572417649718,1,22
1572417651260,1,22
1572417654738,1,22
1572417656727,1,22
1572417659589,1,22
1572417660872,1,22
1572417664084,1,22
1572417666319,1,22
1572417670357,1,22
1572417671559,1,22
1572417672818,1,22
1572417675137,1,22
1572417676370,1,22
1572417677676,1,22
1572417683213,-1,22
1572417700479,1,22
1572417706021,1,22
1572417708795,1,22
1572417709985,1,22
1572417711364,1,22
1572417712864,1,22
1572417716112,1,22
1572417721664,1,22
1572417724447,1,22
1572417726065,1,22
1572417727668,1,22
1572417728665,1,22
1572417730074,1,22
1572417731614,1,22
1572417733213,1,22
1572417734742,1,22
1572417736297,1,22
1572417738588,1,22
1572417740260,1,22
1572417743247,1,22
1572417745286,1,22
1572417746532,1,22
1572417748107,1,22
1572417749874,1,22
1572417751302,1,22
1572417752491,1,22
1572417760062,1,22
1572417762425,1,22
1572417763585,1,22
1572417764713,1,22
1572417766732,1,22
1572417769434,1,22
1572417770954,1,22
1572417776644,1,22
1572417781137,1,22
1572417782292,1,22
1572417783748,1,22
1572417785513,1,22
1572417787330,1,22
1572417792306,1,22
1572417793846,1,22
1572417797626,1,22
1572417801502,1,22
1572417802969,1,22
1572417808153,1,22
1572417809974,1,22
1572417811425,1,22
1572417812711,1,22
1572417815658,1,22
1572417817372,1,22
1572417820764,1,22
1572417822220,1,22
1572417823690,1,22
1572417827148,1,22
1572417832528,1,22
1572417860386,0,23
1572417860926,0,23
1572417864833,0,23
1572417866607,1,23
