time_stamp,red
1569120956594,22249.0
1569120956596,26498.0
1569120956606,26483.0
1569120956616,26464.0
1569120956626,26452.0
1569120956636,26441.0
1569120956646,26433.0
1569120956656,26434.0
1569120956666,26428.0
1569120956677,26415.0
1569120956686,26421.0
1569120956696,26425.0
1569120956706,26416.0
1569120956716,26428.0
1569120956726,26418.0
1569120956736,26426.0
1569120956746,26419.0
1569120956758,26417.0
1569120956768,26428.0
1569120956778,26435.0
1569120956789,26441.0
1569120956799,26439.0
1569120956808,26445.0
1569120956818,26440.0
1569120956827,26433.0
1569120956836,26418.0
1569120956847,26404.0
1569120956856,26388.0
1569120956866,26365.0
1569120956878,26346.0
1569120956887,26324.0
1569120956897,26312.0
1569120956907,26301.0
1569120956917,26285.0
1569120956926,26277.0
1569120956936,26275.0
1569120956946,26259.0
1569120956957,26262.0
1569120956966,26244.0
1569120956977,26245.0
1569120956987,26235.0
1569120956997,26238.0
1569120957006,26238.0
1569120957016,26235.0
1569120957026,26241.0
1569120957036,26245.0
1569120957046,26241.0
1569120957056,26243.0
1569120957066,26248.0
1569120957078,26247.0
1569120957088,26239.0
1569120957097,26243.0
1569120957106,26250.0
1569120957116,26253.0
1569120957126,26244.0
1569120957136,26247.0
1569120957146,26243.0
1569120957157,26235.0
1569120957167,26239.0
1569120957177,26236.0
1569120957186,26233.0
1569120957197,26240.0
1569120957206,26248.0
1569120957216,26245.0
1569120957226,26251.0
1569120957237,26245.0
1569120957246,26256.0
1569120957256,26248.0
1569120957266,26253.0
1569120957279,26259.0
1569120957287,26267.0
1569120957297,26263.0
1569120957307,26271.0
1569120957318,26281.0
1569120957330,26285.0
1569120957339,26279.0
1569120957349,26295.0
1569120957359,26296.0
1569120957368,26303.0
1569120957378,26314.0
1569120957388,26303.0
1569120957399,26304.0
1569120957409,26294.0
1569120957419,26278.0
1569120957429,26265.0
1569120957438,26243.0
1569120957450,26235.0
1569120957458,26215.0
1569120957466,26188.0
1569120957476,26175.0
1569120957486,26161.0
1569120957496,26153.0
1569120957505,26153.0
1569120957516,26139.0
1569120957529,26141.0
1569120957539,26127.0
1569120957548,26130.0
1569120957558,26121.0
1569120957568,26108.0
1569120957578,26109.0
1569120957589,26110.0
1569120957599,26113.0
1569120957605,26117.0
1569120957615,26122.0
1569120957625,26128.0
1569120957635,26131.0
1569120957645,26130.0
1569120957656,26138.0
1569120957666,26146.0
1569120957676,26139.0
1569120957688,26135.0
1569120957698,26148.0
1569120957708,26145.0
1569120957718,26148.0
1569120957728,26151.0
1569120957738,26140.0
1569120957748,26143.0
1569120957758,26150.0
1569120957768,26154.0
1569120957778,26155.0
1569120957788,26156.0
1569120957798,26158.0
