time_stamp,value,flag
1569959575370,0,11
1569959578237,1,11
1569959579167,1,11
1569959579943,1,11
1569959580884,1,11
1569959581737,1,11
1569959582603,1,11
1569959583433,1,11
1569959584331,1,11
1569959585239,1,11
1569959586114,1,11
1569959586978,1,11
1569959587887,1,11
1569959588850,1,11
1569959589780,1,11
1569959590612,1,11
1569959591399,1,11
1569959592265,1,11
1569959593500,1,11
1569959594387,1,11
1569959595207,1,11
1569959596225,1,11
1569959597155,1,11
1569959598117,1,11
1569959599070,1,11
1569959600033,1,11
1569959600842,1,11
1569959601772,1,11
1569959602813,1,11
1569959603807,1,11
1569959604802,1,11
1569959605853,1,11
1569959606784,1,11
1569959607757,1,11
1569959608744,1,11
1569959609650,1,11
1569959610536,1,11
1569959611325,1,11
1569959612112,1,11
1569959612889,1,11
1569959613676,1,11
1569959614355,1,11
1569959615232,1,11
1569959616063,1,11
1569959616948,1,11
1569959617977,1,11
1569959618688,1,11
1569959620013,1,11
1569959620855,1,11
1569959621786,1,11
1569959623591,1,11
1569959624697,1,11
1569959625594,1,11
1569959626512,1,11
1569959627487,1,11
1569959628297,1,11
1569959629271,1,11
1569959630233,1,11
1569959631547,1,11
1569959632499,1,11
1569959639372,0,12
1569959640127,0,12
1569959644854,1,12
1569959651627,1,12
1569959653969,1,12
1569959656387,1,12
1569959658291,1,12
1569959667121,1,12
1569959677878,1,12
1569959683896,1,12
1569959685691,1,12
1569959687004,1,12
1569959689476,1,12
1569959691259,1,12
1569959693031,1,12
1569959694935,1,12
1569959696753,1,12
1569959698700,1,12
1569959700297,1,12
1569959702815,1,12
1569959704226,1,12
1569959705540,1,12
1569959706646,1,12
1569959708089,1,12
1569959709435,1,12
1569959710507,1,12
1569959712095,1,12
1569959714153,1,12
1569959715531,1,12
1569959720007,1,12
1569959721770,1,12
1569959723654,1,12
1569959732789,1,12
1569959737474,1,12
1569959740211,1,12
1569959741784,1,12
1569959743841,1,12
1569959745702,1,12
1569959747814,1,12
1569959751010,1,12
1569959753044,1,12
1569959755736,1,12
1569959757378,1,12
1569959758757,1,12
1569959760202,1,12
1569959761690,1,12
1569959762927,1,12
1569959765389,1,12
1569959766823,1,12
1569959768158,1,12
1569959769438,1,12
1569959770664,1,12
1569959771792,1,12
1569959773214,1,12
1569959774681,1,12
1569959775666,1,12
1569959777187,1,12
1569959782102,1,12
1569959784159,1,12
1569959786085,1,12
1569959792662,0,13
1569959793275,0,13
1569959793822,0,13
1569959794851,1,13
1569959796558,1,13
1569959798429,1,13
1569959801372,-1,13
1569959804546,1,13
1569959806155,1,13
1569959808103,1,13
1569959809570,1,13
1569959810741,1,13
1569959812941,-1,13
1569959813915,-1,13
1569959814790,1,13
1569959816181,1,13
1569959817614,1,13
1569959819846,1,13
1569959821499,1,13
1569959823053,1,13
1569959824302,1,13
1569959827365,1,13
1569959829314,1,13
1569959830451,1,13
1569959832116,1,13
1569959833089,1,13
1569959834293,1,13
1569959836242,1,13
1569959837652,-1,13
1569959839098,1,13
1569959840596,-1,13
1569959841855,1,13
1569959843616,-1,13
1569959844558,1,13
1569959846079,1,13
1569959847567,1,13
1569959849153,1,13
1569959850937,-1,13
1569959852907,-1,13
1569959854976,1,13
1569959856640,-1,13
1569959861915,1,13
1569959864432,1,13
1569959867080,1,13
1569959868426,1,13
1569959869783,1,13
1569959872201,1,13
1569959873558,1,13
1569959874653,1,13
1569959875616,1,13
1569959879435,1,13
1569959880870,1,13
1569959882181,1,13
1569959886667,1,13
1569959887402,1,13
1569959888180,1,13
1569959889874,1,13
1569959890623,1,13
1569959891319,1,13
1569959893376,1,13
1569959959734,0,21
1569959962284,1,21
1569959962995,1,21
1569959963717,1,21
1569959964308,1,21
1569959964866,1,21
1569959965545,1,21
1569959966202,1,21
1569959966979,1,21
1569959967646,1,21
1569959968511,1,21
1569959970273,1,21
1569959971061,1,21
1569959971937,1,21
1569959972571,1,21
1569959973208,1,21
1569959973863,1,21
1569959974465,1,21
1569959975165,1,21
1569959975887,1,21
1569959976621,1,21
1569959977650,1,21
1569959978788,1,21
1569959979455,1,21
1569959980210,1,21
1569959980966,1,21
1569959981656,1,21
1569959982454,1,21
1569959983549,1,21
1569959984480,1,21
1569959985103,1,21
1569959985683,1,21
1569959986504,1,21
1569959987205,1,21
1569959987774,1,21
1569959988595,1,21
1569959989503,1,21
1569959991364,1,21
1569959992316,1,21
1569959993038,1,21
1569959993838,1,21
1569959994647,1,21
1569959995359,1,21
1569959996092,1,21
1569959996727,1,21
1569959997329,1,21
1569959997910,1,21
1569959998719,1,21
1569959999365,1,21
1569959999913,1,21
1569960000713,1,21
1569960001533,1,21
1569960002255,1,21
1569960002923,1,21
1569960003603,1,21
1569960004411,1,21
1569960005177,1,21
1569960005834,1,21
1569960006534,1,21
1569960007183,1,21
1569960007872,1,21
1569960008516,1,21
1569960009227,1,21
1569960009917,1,21
1569960010617,1,21
1569960011307,1,21
1569960011964,1,21
1569960012654,1,21
1569960013278,1,21
1569960013914,1,21
1569960014503,1,21
1569960015051,1,21
1569960015608,1,21
1569960016191,1,21
1569960016824,1,21
1569960017350,1,21
1569960017929,1,21
1569960018455,1,21
1569960019014,1,21
1569960019540,1,21
1569960020035,1,21
1569960020611,1,21
1569960021159,1,21
1569960021837,1,21
1569960022373,1,21
1569960022975,1,21
1569960023611,1,21
1569960024115,1,21
1569960024596,1,21
1569960025208,1,21
1569960025844,1,21
1569960026391,1,21
1569960026917,1,21
1569960027496,1,21
1569960028121,1,21
1569960028689,1,21
1569960029247,1,21
1569960029861,1,21
1569960030835,1,21
1569960031470,1,21
1569960032192,1,21
1569960032937,1,21
1569960033626,1,21
1569960034239,1,21
1569960042175,0,22
1569960042679,0,22
1569960043872,1,22
1569960044813,1,22
1569960046170,1,22
1569960046816,1,22
1569960048206,1,22
1569960048819,1,22
1569960050297,1,22
1569960050823,1,22
1569960052388,1,22
1569960052847,1,22
1569960055158,1,22
1569960055661,1,22
1569960056963,1,22
1569960057477,1,22
1569960058922,1,22
1569960059644,1,22
1569960061198,1,22
1569960061856,1,22
1569960067676,-1,22
1569960068651,1,22
1569960070160,1,22
1569960070893,1,22
1569960075325,1,22
1569960076999,1,22
1569960078992,1,22
1569960079712,1,22
1569960081670,1,22
1569960082337,1,22
1569960084295,1,22
1569960084918,1,22
1569960086362,1,22
1569960087118,1,22
1569960088060,1,22
1569960088967,1,22
1569960089800,1,22
1569960090533,1,22
1569960091397,1,22
1569960092175,1,22
1569960092963,1,22
1569960093665,1,22
1569960094735,1,22
1569960096344,1,22
1569960097603,1,22
1569960099102,1,22
1569960101510,1,22
1569960102309,1,22
1569960103196,1,22
1569960104082,1,22
1569960104969,1,22
1569960105976,1,22
1569960107081,1,22
1569960108033,1,22
1569960109117,1,22
1569960110387,1,22
1569960115027,1,22
1569960115948,1,22
1569960116867,1,22
1569960117458,1,22
1569960118279,1,22
1569960118991,1,22
1569960120851,1,22
1569960121411,1,22
1569960122417,1,22
1569960122998,1,22
1569960124190,1,22
1569960124890,1,22
1569960127036,1,22
1569960127922,1,22
1569960130177,1,22
1569960131382,1,22
1569960132508,1,22
1569960133593,1,22
1569960136230,1,22
1569960137116,1,22
1569960138058,1,22
1569960139350,1,22
1569960140204,1,22
1569960141079,1,22
1569960142316,-1,22
1569960145711,1,22
1569960147910,1,22
1569960149026,1,22
1569960150584,1,22
1569960151205,1,22
1569960152027,1,22
1569960152836,1,22
1569960154008,1,22
1569960154719,1,22
1569960156855,1,22
1569960157828,1,22
1569960158988,1,22
1569960159722,1,22
1569960164287,1,22
1569960165261,1,22
1569960166126,1,22
1569960166958,1,22
1569960167856,1,22
1569960168656,1,22
1569960169476,1,22
1569960170232,1,22
1569960171032,1,22
1569960171831,1,22
1569960179966,0,23
1569960180492,0,23
1569960180972,0,23
1569960181837,1,23
1569960182790,1,23
1569960183503,1,23
1569960184990,1,23
1569960185843,1,23
1569960187102,1,23
1569960189183,1,23
1569960189883,1,23
1569960190999,1,23
1569960192947,1,23
1569960193976,1,23
1569960194745,1,23
1569960195925,1,23
1569960196516,1,23
1569960197272,1,23
1569960198322,1,23
1569960199056,1,23
1569960199800,1,23
1569960200610,1,23
1569960201300,1,23
1569960201924,1,23
1569960203654,1,23
1569960204343,1,23
1569960205176,1,23
1569960205996,1,23
1569960206577,1,23
1569960207343,1,23
1569960208186,1,23
1569960208788,1,23
1569960209576,1,23
1569960211525,1,23
1569960212258,1,23
1569960213277,1,23
1569960214689,-1,23
1569960215411,1,23
1569960216331,1,23
1569960217447,1,23
1569960218104,1,23
1569960219068,1,23
1569960220884,-1,23
1569960222592,-1,23
1569960223731,1,23
1569960225439,1,23
1569960225986,1,23
1569960226676,1,23
1569960228121,1,23
1569960228832,1,23
1569960229500,1,23
1569960231395,1,23
1569960232028,1,23
1569960232838,-1,23
1569960234098,1,23
1569960234810,1,23
1569960235586,1,23
1569960237065,1,23
1569960237688,1,23
1569960238203,1,23
1569960239046,1,23
1569960239582,1,23
1569960240064,1,23
1569960241104,1,23
1569960242045,1,23
1569960242702,1,23
1569960244234,1,23
1569960244935,1,23
1569960245899,1,23
1569960247092,1,23
1569960247924,1,23
1569960248909,1,23
1569960250036,1,23
1569960250660,1,23
1569960251340,1,23
1569960252555,1,23
1569960253211,1,23
1569960253867,1,23
1569960254733,1,23
1569960255499,1,23
1569960256275,1,23
1569960257403,1,23
1569960258191,1,23
1569960259001,1,23
1569960260456,1,23
1569960261191,1,23
1569960261901,1,23
1569960262602,1,23
1569960263390,1,23
1569960264627,1,23
1569960266410,1,23
1569960269245,-1,23
1569960270853,1,23
1569960272485,1,23
1569960273261,1,23
1569960274554,1,23
1569960275943,1,23
1569960277027,1,23
1569960277881,1,23
1569960279369,1,23
1569960280036,1,23
1569960280780,1,23
1569960283089,1,23
1569960283877,1,23
1569960350284,0,31
1569960351335,1,31
1569960351860,1,31
1569960352352,1,31
1569960352867,1,31
1569960353349,1,31
1569960353841,1,31
1569960354278,1,31
1569960354749,1,31
1569960355199,1,31
1569960355624,1,31
1569960356063,1,31
1569960356515,1,31
1569960356939,1,31
1569960357376,1,31
1569960357803,1,31
1569960358230,1,31
1569960359040,1,31
1569960360035,1,31
1569960360550,1,31
1569960361085,1,31
1569960361665,1,31
1569960362103,1,31
1569960362551,1,31
1569960363076,1,31
1569960363766,1,31
1569960364382,1,31
1569960364740,1,31
1569960365462,1,31
1569960365922,1,31
1569960366373,1,31
1569960366797,1,31
1569960367266,1,31
1569960367704,1,31
1569960368175,1,31
1569960368656,1,31
1569960369129,1,31
1569960369564,1,31
1569960369990,1,31
1569960370439,1,31
1569960371226,1,31
1569960371794,1,31
1569960372189,1,31
1569960373031,1,31
1569960373709,1,31
1569960374605,1,31
1569960375349,1,31
1569960375940,1,31
1569960376815,1,31
1569960377800,1,31
1569960378414,1,31
1569960379026,1,31
1569960380055,1,31
1569960381104,1,31
1569960381848,1,31
1569960382515,1,31
1569960383236,1,31
1569960384067,1,31
1569960384692,1,31
1569960385195,1,31
1569960385873,1,31
1569960386399,1,31
1569960386892,1,31
1569960387636,1,31
1569960388151,1,31
1569960388718,1,31
1569960389442,1,31
1569960390009,1,31
1569960390534,1,31
1569960391070,1,31
1569960391530,1,31
1569960391992,1,31
1569960392448,1,31
1569960392919,1,31
1569960393366,1,31
1569960393901,1,31
1569960394404,1,31
1569960394908,1,31
1569960395379,1,31
1569960395771,1,31
1569960396460,1,31
1569960396997,1,31
1569960398199,1,31
1569960399009,1,31
1569960399611,1,31
1569960400629,1,31
1569960401450,1,31
1569960402391,1,31
1569960402949,1,31
1569960403462,1,31
1569960404053,1,31
1569960404654,1,31
1569960405256,1,31
1569960406076,1,31
1569960406656,1,31
1569960407214,1,31
1569960407816,1,31
1569960408385,1,31
1569960408898,1,31
1569960409467,-1,31
1569960411030,1,31
1569960412156,1,31
1569960413096,1,31
1569960413873,1,31
1569960414398,1,31
1569960414923,1,31
1569960415546,1,31
1569960416606,1,31
1569960417209,1,31
1569960417667,1,31
1569960418126,1,31
1569960418717,1,31
1569960419220,1,31
1569960419713,1,31
1569960420138,1,31
1569960420553,1,31
1569960421274,1,31
1569960422084,1,31
1569960422389,1,31
1569960422751,1,31
1569960423123,1,31
1569960423549,1,31
1569960423921,1,31
1569960424314,1,31
1569960424773,1,31
1569960425200,1,31
1569960425594,1,31
1569960426130,1,31
1569960426588,1,31
1569960427015,1,31
1569960427750,1,31
1569960428495,1,31
1569960429049,1,31
1569960429421,1,31
1569960429913,1,31
1569960430329,1,31
1569960430722,1,31
