time_stamp,value,flag
1569335986423,0,11
1569335988120,1,11
1569335992036,1,11
1569335993486,1,11
1569335994693,1,11
1569335995516,1,11
1569335997255,1,11
1569335997872,1,11
1569335998565,1,11
1569335999433,1,11
1569336000037,1,11
1569336000771,1,11
1569336001519,1,11
1569336002453,1,11
1569336003115,1,11
1569336003906,1,11
1569336005001,1,11
1569336005812,1,11
1569336006743,1,11
1569336007426,1,11
1569336008472,1,11
1569336009201,1,11
1569336009755,1,11
1569336010284,1,11
1569336010998,1,11
1569336011813,1,11
1569336012740,1,11
1569336013444,1,11
1569336014325,1,11
1569336014937,1,11
1569336015626,1,11
1569336016756,1,11
1569336017357,1,11
1569336017898,1,11
1569336018496,1,11
1569336019083,1,11
1569336020226,1,11
1569336020792,1,11
1569336021345,1,11
1569336021970,1,11
1569336022704,1,11
1569336023463,1,11
1569336024019,1,11
1569336024779,1,11
1569336025290,1,11
1569336025956,1,11
1569336026643,1,11
1569336027299,1,11
1569336028082,1,11
1569336028920,1,11
1569336029525,1,11
1569336030042,1,11
1569336030674,1,11
1569336031246,1,11
1569336032369,1,11
1569336033202,1,11
1569336033827,1,11
1569336034420,1,11
1569336035034,1,11
1569336035961,1,11
1569336042613,0,12
1569336043514,0,12
1569336044639,1,12
1569336046425,1,12
1569336047513,-1,12
1569336049794,1,12
1569336050639,-1,12
1569336053392,1,12
1569336057553,1,12
1569336063144,1,12
1569336064617,1,12
1569336068470,1,12
1569336069791,1,12
1569336071527,1,12
1569336075543,1,12
1569336078687,1,12
1569336081069,1,12
1569336082710,1,12
1569336085409,1,12
1569336086334,1,12
1569336087805,1,12
1569336088620,1,12
1569336089613,1,12
1569336090605,1,12
1569336090856,-1,12
1569336091565,-1,12
1569336092670,1,12
1569336094074,1,12
1569336095114,1,12
1569336096092,1,12
1569336097303,1,12
1569336098331,1,12
1569336099293,1,12
1569336100353,1,12
1569336101031,1,12
1569336101806,-1,12
1569336102670,-1,12
1569336104053,1,12
1569336106004,1,12
1569336107084,1,12
1569336108496,1,12
1569336109635,1,12
1569336110734,1,12
1569336112324,1,12
1569336113454,1,12
1569336115486,1,12
1569336116131,1,12
1569336117121,1,12
1569336118368,1,12
1569336119799,1,12
1569336120949,1,12
1569336121761,1,12
1569336123153,1,12
1569336124171,1,12
